Severity,Start_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,State,Temperature(F),Visibility(mi),Precipitation(in),Weather_Condition,Sunrise_Sunset,Junction,Roundabout,Crossing,Railway,Stop,Traffic_Signal,Give_Way,Bump,Traffic_Calming,Turning_Loop,Wind_Speed(mph),Amenity,Station
2,2017-11-27 09:51:50,37.630829,-77.577614,,,0.0,Accident on Gaskins Rd at Three Chopt Rd.,Gaskins Rd,Henrico,VA,48.0,10.0,,Clear,Day,False,False,False,False,False,True,False,False,False,False,,False,False
2,2019-03-11 08:10:49,45.582939,-122.667801,,,0.0,Accident on Columbia Blvd at Vancouver Ave.,N Vancouver Ave,Portland,OR,32.0,10.0,,Mostly Cloudy,Day,False,False,True,False,False,True,False,False,False,False,4.6,False,False
2,2021-06-19 05:06:30,41.53550900000001,-71.679753,41.542918,-71.676412,0.54,Slow traffic on I-95 N from RI-138/Exit 3 (I-95) to RI-102/Exit 5 (I-95) due to accident.,I-95 N,Wyoming,RI,64.0,10.0,0.0,Partly Cloudy,Night,True,False,False,False,False,False,False,False,False,False,9.0,False,False
2,2022-06-14 17:21:30,33.494923,-112.025898,33.494837,-112.03896,0.753,Stationary traffic from N 32nd St (E Indian School Rd) to AZ-51 (E Indian School Rd) due to accident., E Indian School Rd,Phoenix,AZ,104.0,10.0,0.0,Fair,Day,False,False,False,False,True,False,False,False,False,False,9.0,True,False
2,2017-08-07 13:18:41,29.878586,-95.450584,,,0.0,Accident on Venus St at Rigel Rd.,Rigel Rd,Houston,TX,75.9,5.0,0.05,Rain,Day,False,False,False,False,False,False,False,False,False,False,5.8,False,False
2,2017-06-19 17:27:39,40.087006,-75.164589,,,0.0,Accident on PA-309 Northbound at Easton Rd.,PA-309 S,Wyncote,PA,68.0,5.0,,Overcast,Day,False,False,False,False,False,True,False,False,False,False,3.5,False,False
3,2018-03-20 07:55:27,36.105747,-86.930359,,,0.0,Accident on I-40 Westbound after Exit 199 TN-251 Old Hickory Blvd.,I-40 W,Nashville,TN,51.1,10.0,,Mostly Cloudy,Day,False,False,False,False,False,False,False,False,False,False,8.1,False,False
2,2021-06-30 12:56:30,35.403261,-119.045809,35.388122,-119.044636,1.048,Slow traffic on CA-99 S from CA-204/Golden State Ave (CA-99) to CA-178/CA-58/Rosedale Hwy (CA-99) due to accident.,CA-99 S,Bakersfield,CA,97.0,8.0,0.0,Fair,Day,False,False,False,False,False,False,False,False,False,False,12.0,False,False
2,2020-03-22 21:15:00,33.94127,-117.27065,33.94178,-117.2736,0.173,At Day St - Accident. Right lane blocked.,CA-60 W,Moreno Valley,CA,54.0,10.0,0.02,Light Rain,Night,False,False,False,False,False,False,False,False,False,False,8.0,False,False
2,2022-05-03 17:19:47,25.685034,-80.428354,25.68402,-80.43001,0.125,Slow traffic on FL-94 from N Kendall Dr to SW 90th Ter due to accident., SW 88th St,Miami,FL,80.0,10.0,0.0,Fair,Day,False,False,False,False,False,False,False,False,False,False,10.0,False,False
2,2021-06-17 15:55:29,28.596595,-81.244563,28.59753,-81.24593399999998,0.105,Slow traffic from Hollow Crossing Dr to FL-417 N due to accident., N Dean Rd,Orlando,FL,89.0,10.0,0.0,Cloudy,Day,False,False,True,False,False,False,False,False,False,False,9.0,False,False
2,2019-10-19 16:17:18,41.841625,-71.419014,,,0.0,Accident on RI-146 Louisquisset Pike Southbound at Admiral St.,Louisquisset Pike S,Providence,RI,,10.0,0.0,Fair,Day,False,False,False,False,False,False,False,False,False,False,9.0,False,False
2,2018-04-20 04:57:13,33.91272,-118.28639,33.91642,-118.28564,0.259,At El Segundo Blvd - Accident. Carpool lane blocked.,Harbor Fwy N,Gardena,CA,54.0,10.0,,Scattered Clouds,Night,False,False,False,False,False,False,False,False,False,False,5.8,False,False
2,2020-12-09 04:45:00,30.681327000000003,-87.99251600000002,30.675897,-87.984726,0.596,Incident on I-10 near US-90 Drive with caution.,I-10 E,Daphne,AL,46.0,7.0,0.0,Fair,Night,True,False,False,False,False,False,False,False,False,False,6.0,False,False
2,2022-09-29 17:09:48.000000000,30.461333000000003,-91.041891,30.462384000000004,-91.035236,0.403,Stationary traffic on US-190 E from N Sherwood Forest Dr (Florida Blvd/US-190) to S Flannery Rd (Florida Blvd/US-190) due to accident.,Florida Blvd,Baton Rouge,LA,76.0,10.0,0.0,Fair,Day,False,False,False,False,False,False,False,False,False,False,14.0,False,False
2,2020-06-03 13:52:56,33.901245,-80.093117,,,0.0,Accident on I-95 Northbound at US-378 Myrtle Beach Hwy.,Myrtle Beach Hwy,Gable,SC,82.0,5.0,0.0,Fair,Day,False,False,False,False,False,False,False,False,False,False,6.0,False,False
1,2022-09-02 16:13:00,41.092049,-73.990639,,,0.0,Left lane blocked due to crash on Palisades Interstate Pkwy Northbound after Palisades Interstate Pkwy Exits 8 / NY-59.,Palisades Interstate Pkwy,West Nyack,NY,77.0,10.0,0.0,Fair,Day,False,False,False,False,False,False,False,False,False,False,6.0,False,False
2,2017-11-18 15:43:05,34.08462100000001,-81.225922,,,0.0,Accident on SC-6 Lake Dr Northbound near Clearview Dr.,N Lake Dr,Columbia,SC,73.9,10.0,,Partly Cloudy,Day,False,False,False,False,False,False,False,False,False,False,12.7,False,False
2,2020-12-08 01:24:59,39.199417,-76.61339,39.201993,-76.613668,0.179,MD 2 SOUTH AT I-895, Ritchie Hwy,Glen Burnie,MD,32.0,10.0,0.0,Fair,Night,False,False,False,False,False,False,False,False,False,False,7.0,False,False
2,2016-09-19 09:29:23,40.009975,-75.295151,,,0.0,Slow traffic due to accident on Greenfield Ave at US-30 Lancaster Ave.,W Lancaster Ave,Ardmore,PA,68.0,3.0,0.11,Overcast,Day,False,False,False,False,False,True,False,False,False,False,,False,False
3,2021-02-03 22:37:49,34.11972,-117.75781299999998,,,1.649999976158142,Earlier accident on exit ramp from I-210 Westbound to Fruit St. All lanes have been re-opened.,CA-210 W,La Verne,CA,50.0,10.0,,Fair,Night,False,False,False,False,False,False,False,False,False,False,5.0,False,False
2,2022-08-21 21:20:00.000000000,40.525141,-74.264535,40.5253,-74.23703499999998,1.444,Slow traffic on NJ-440 N - NY-440 N - Outer Bridge Xing N - Outer Bridge Xing S from State St (Outer Bridge Xing/NJ-440) to Korean War Veterans Pkwy (N Bridge St/NY-440) due to accident.,NJ-440 N,Perth Amboy,NJ,75.0,10.0,0.0,Partly Cloudy,Night,False,False,False,False,False,False,False,False,False,False,7.0,False,False
2,2022-03-09 10:52:16,41.184891,-77.554443,,,0.0,Lane blocked due to crash on PA-120 both ways at Eagleton Rd.,Eagleton Rd,Mill Hall,PA,32.0,0.25,0.0,Heavy Snow,Day,False,False,False,False,False,False,False,False,False,False,5.0,False,False
1,2022-06-22 07:06:06,37.298908,-93.433113,,,0.0,Crash on US-160 Eastbound at Farmer Rd.,W US Highway 160,Willard,MO,71.0,6.0,0.0,Fair,Day,False,False,False,False,False,True,False,False,False,False,3.0,False,False
2,2022-11-14 18:39:50,39.171675,-82.04229000000002,39.159276,-82.035639,0.928,Incident on US-33 SB near US-33 Drive with caution.,US-33,Shade,OH,32.0,7.0,0.0,Light Snow,,False,False,False,False,False,False,False,False,False,False,0.0,False,False
3,2017-12-22 10:41:59,43.058781,-77.641838,,,0.0,Accident on I-390 Genesee Expy Southbound at Exits 12A 12B NY-253 Lehigh Station Rd.,Genesee Expy S,Henrietta,NY,28.0,2.0,0.02,Light Snow,Day,False,False,False,False,False,False,False,False,False,False,10.4,False,False
2,2019-08-20 16:42:31,34.200161,-81.455322,,,0.0,Accident on US-76 at Mt Pilgrim Church Rd.,US Highway 76,Prosperity,SC,79.0,10.0,0.0,Cloudy,Day,False,False,False,False,False,False,False,False,False,False,9.0,False,False
2,2020-04-09 16:27:41,36.232288,-86.62471,,,0.0,Accident on TN-45 Old Hickory Blvd at Shute Ln.,Shute Ln,Old Hickory,TN,68.0,10.0,0.0,Mostly Cloudy,Day,False,False,False,False,False,True,False,False,False,False,9.0,False,False
2,2022-12-30 07:52:30,39.94468300000001,-82.081818,39.949244,-82.02695600000001,2.923,Slow traffic on I-70 E from Mount Perry Rd/Exit 142 (I-70) to State St/Exit 153 (I-70) due to accident.,I-70 E,Zanesville,OH,54.0,10.0,0.0,Light Rain,Day,False,False,False,False,False,False,False,False,False,False,9.0,False,False
2,2022-07-25 16:53:00,27.477124,-82.567137,27.47714,-82.568713,0.097,Incident on 26TH AVE near 5TH ST Expect delays., 5th St W,Bradenton,FL,83.0,9.0,0.07,T-Storm,Day,False,False,False,False,False,False,False,False,False,False,9.0,False,False
3,2018-04-12 03:37:20,39.742184,-105.015404,,,0.7300000190734863,Accident on exit ramp from I-25 Southbound at Exits 210A 210B to US-40. Emergency vehicles at scene.,US-6 W,Denver,CO,51.8,10.0,,Clear,Night,False,False,False,False,False,False,False,False,False,False,10.4,False,False
2,2021-11-20 22:06:00,35.012714,-120.493522,35.010648,-120.494569,0.155,Incident on DIVISION ST SB near S LAS FLORES DR Expect delays., Division St,Nipomo,CA,61.0,10.0,0.0,Fair,Night,False,False,False,False,False,False,False,False,False,False,10.0,False,False
2,2019-03-12 07:05:17,31.242029,-85.630157,,,0.0,Accident on US-84 Westbound at AL-123.,W US 84,Newton,AL,52.7,10.0,,Clear,Day,False,False,False,False,False,False,False,False,False,False,4.6,False,False
2,2020-05-15 16:02:03,39.22746,-84.43818,39.22746,-84.43818,0.0,At Columbia Ave - Accident., W Columbia Ave,Cincinnati,OH,73.0,10.0,0.0,Mostly Cloudy,Day,False,False,True,False,False,True,False,False,False,False,12.0,False,False
2,2021-01-26 00:04:54,34.079729,-80.881186,34.080359,-80.879716,0.095,Incident on PERCIVAL RD near SMALLWOOD RD Drive with caution., Percival Rd,Columbia,SC,53.0,5.0,0.0,Fair,Night,False,False,False,False,False,False,False,False,False,False,0.0,False,False
2,2018-10-15 19:34:21,44.56393,-123.237446,44.56391,-123.240054,0.128,At OR-34-BYP/Corvallis-Newport Hwy - Accident., Corvallis-Lebanon Hwy,Corvallis,OR,54.0,10.0,,Clear,Night,False,False,False,False,False,False,False,False,False,False,4.6,False,False
2,2022-10-17 06:04:30,39.002937,-76.89544699999998,39.002817,-76.895341,0.01,I-95 INNER LOOP PRIOR TO KENILWORTH AVE,Kenilworth Ave,Greenbelt,MD,61.0,10.0,0.0,Cloudy,Night,True,False,False,False,False,False,False,False,False,False,5.0,False,False
4,2020-12-24 01:43:32,36.068177,-106.094617,36.06863,-106.095188,0.045,Incident on NM-74 WB near MM 2 Road closed. Take alternate route., State Road 74,Ohkay Owingeh,NM,15.0,10.0,0.0,Fair,Night,False,False,False,False,False,False,False,False,False,False,13.0,False,False
3,2019-01-28 15:30:46,34.36128,-118.50558,34.36963,-118.50087,0.636,At CA-126/San Fernando Rd - Accident. Lane blocked.,CA-14 N,Newhall,CA,74.0,10.0,0.0,Fair,Day,False,False,False,False,False,False,False,False,False,False,7.0,False,False
2,2016-12-23 20:50:56,47.672077,-117.475479,,,0.0,Accident on Fort George Wright Dr at Government Way.,N Government Way,Spokane,WA,33.1,1.5,0.04,Light Snow,Night,False,False,True,False,False,True,False,False,False,False,9.2,False,False
2,2022-12-29 06:32:00,37.78617,-122.390728,37.778637,-122.401267,0.7759999999999999,Slow traffic on James Lick Fwy S - I-80 W from Treasure Island Rd (I-80) to 4th St/5th St (I-80) due to accident.,I-80 W,San Francisco,CA,50.0,9.0,0.0,Cloudy,Night,False,False,False,False,False,False,False,False,False,False,12.0,False,False
3,2019-12-04 18:47:07,38.706757,-77.223022,,,5.070000171661377,Center and right lane closed due to accident on I-95 Southbound between Exits 166A 166B 167 VA-286 Fairfax County Pkwy and Exit 163 VA-642 Lorton Rd.,I-95 N,Lorton,VA,45.0,10.0,0.0,Fair,Night,False,False,False,False,False,False,False,False,False,False,9.0,False,False
2,2019-07-30 05:14:16,28.50355,-81.640671,,,0.0,Accident on Davenport Rd at CR-545 Avalon Rd.,Avalon Rd,Winter Garden,FL,79.0,10.0,0.0,Fair,Night,False,False,False,False,False,False,False,False,False,False,3.0,False,False
2,2018-05-08 05:11:12,40.825005,-72.809372,,,0.0,Accident on North Sunrise Service Rd at Wading River Rd.,Wading River Rd,Manorville,NY,48.0,10.0,,Clear,Night,False,False,False,False,False,False,False,False,False,False,3.5,False,False
2,2020-11-27 01:18:23,33.011152,-80.032574,33.015911,-80.031975,0.331,Incident on CLARINE DR near BEVERLY DR Drive with caution., Hollywood Dr,Goose Creek,SC,67.0,10.0,0.0,Mostly Cloudy,Night,False,False,False,False,False,False,False,False,False,False,7.0,False,False
2,2023-02-20 15:20:00.000000000,33.869027,-84.366612,33.853174,-84.370037,1.113,Crash on SR-400 Southbound at Lenox Rd/Buckhead. 1 lane(s) (of 3) blocked.,GA-400 S,Atlanta,GA,74.0,10.0,0.0,Fair,Day,False,False,False,False,False,False,False,False,False,False,12.0,False,False
2,2020-10-31 10:07:20,39.923683,-86.22337399999998,39.930093,-86.166394,3.051,Incident on I-465 EB near DITCH RD Road closed. Take alternate route.,I-465 E,Indianapolis,IN,39.0,10.0,0.0,Fair,Day,False,False,False,False,False,False,False,False,False,False,5.0,False,False
2,2023-01-16 06:41:00.000000000,40.997802,-72.517098,40.997332,-72.520112,0.16,NYSDOT - Region 10: Crash on NY 25 both directions between Cardinal Drive (Riverhead) and Eastward Court (Riverhead) all lanes closed, RT-25,Mattituck,NY,31.0,10.0,0.0,Cloudy,Night,False,False,False,False,False,False,False,False,False,False,14.0,False,False
2,2020-09-19 17:11:30,33.870016,-117.670663,33.875088,-117.661827,0.616,Queuing traffic on Riverside Fwy E - CA-91 E from Rio Vista Rd to Green River Rd due to accident., Rio Vista Rd,Corona,CA,89.0,10.0,0.0,Fair,Day,False,False,False,False,False,False,False,False,False,False,13.0,False,False
2,2022-06-10 05:03:52,26.136629,-80.169838,,,0.0,Crash on FL-838 Sunrise Blvd Westbound at I-95.,W Sunrise Blvd,Fort Lauderdale,FL,74.0,10.0,0.0,Fair,Night,False,False,False,False,False,True,False,False,False,False,0.0,False,False
2,2020-11-06 02:00:00.000000000,33.298434,-111.895011,33.298494,-111.89354099999998,0.085,Incident on W FRYE RD near S PRICE RD Expect delays., W Frye Rd,Chandler,AZ,79.0,10.0,,Fair,Night,False,False,True,False,False,True,False,False,False,False,0.0,False,False
2,2018-10-12 07:26:29,36.069576,-86.69393199999998,,,0.0,Accident on Haywood Ln at Apache Trl.,Haywood Ln,Nashville,TN,48.9,10.0,,Partly Cloudy,Day,False,False,False,False,False,False,False,False,False,False,5.8,False,False
2,2018-01-05 07:38:15,32.782944,-96.80722,,,0.0,Accident on Market St both ways around Munger Ave.,Munger Ave,Dallas,TX,35.1,10.0,,Partly Cloudy,Day,False,False,True,False,False,False,False,False,False,False,,False,False
2,2023-01-02 13:07:28.000000000,32.981592,-80.14365600000002,32.98187,-80.143952,0.026,Incident on LIMEHOUSE DR near BEVERLY DR Drive with caution., Beverly Dr,Ladson,SC,69.0,10.0,0.0,Fair,Day,False,False,False,False,False,False,False,False,False,False,0.0,False,False
2,2019-11-21 20:44:26,45.2131,-118.02602,45.2131,-118.02602,0.0,At Frontage Rd/Exit 273 - Accident.,I-84 E,North Powder,OR,23.0,10.0,0.0,Fair,Night,False,False,False,False,False,False,False,False,False,False,0.0,False,False
2,2018-12-14 17:14:40,33.489792,-80.844879,,,0.0,Accident on US-301 John C Calhoun Dr at Bleakley St.,John C Calhoun Dr,Orangeburg,SC,62.1,,0.0,Light Rain,Day,False,False,False,False,False,True,False,False,False,False,3.5,False,False
2,2018-04-02 21:25:07,35.22853900000001,-80.822037,,,0.0,Accident on Seigle Ave at Belmont Ave.,Seigle Ave,Charlotte,NC,68.0,10.0,,Scattered Clouds,Night,False,False,False,False,False,False,False,False,False,False,8.1,False,False
4,2017-12-02 19:53:38,35.69466,-78.87453000000002,35.70009,-78.87168,0.408,Ramp closed to NC-540 - Road closed due to accident.,US-1 N,Apex,NC,49.3,10.0,,Overcast,Night,False,False,False,False,False,False,False,False,False,False,,False,False
2,2021-02-01 21:23:21,40.289719,-74.792112,40.289552,-74.802114,0.527,Incident on I-295 SB near NJ-31 Drive with caution.,I-295 N,Pennington,NJ,31.0,1.0,0.0,Light Snow,Night,False,False,False,False,False,False,False,False,False,False,14.0,False,False
3,2018-02-06 05:13:34,34.117496,-117.846329,,,0.0,Slow traffic and right hand shoulder blocked due to accident on I-210 Westbound near Sunflower Ave.,Foothill Fwy E,Glendora,CA,,,,,Night,False,False,False,False,False,False,False,False,False,False,,False,False
2,2022-08-19 11:04:50.000000000,29.941719,-90.095633,29.946229,-90.088388,0.534,Slow traffic on US-90 E from Toledano St (US-90) to Martin Luther King Jr Blvd (US-90) due to accident., S Claiborne Ave,New Orleans,LA,86.0,10.0,0.0,Thunder,Day,False,False,False,False,False,False,False,False,False,False,12.0,False,False
2,2022-07-18 09:24:00.000000000,30.42319,-91.059883,30.419232,-91.059661,0.274,Incident on TOULON DR near STANLEY AUBIN LN Drive with caution., Cabot Ave,Baton Rouge,LA,85.0,10.0,0.0,Fair,Day,False,False,False,False,False,False,False,False,False,False,8.0,False,False
2,2022-04-11 17:25:00,32.481792,-93.739555,32.481415000000005,-93.746391,0.399,Incident on KINGS near HIGHLAND AVE Drive with caution., Kings Hwy,Shreveport,LA,82.0,10.0,0.0,Mostly Cloudy,Day,False,False,False,False,False,False,False,False,False,False,17.0,False,False
2,2019-10-23 20:15:56,41.69299,-71.47666,41.70098,-71.47414,0.5670000000000001,At RI-117/Centerville Rd/Exit 9 - Accident. Left lane blocked.,I-95 N,Warwick,RI,55.0,10.0,0.0,Fair,Night,False,False,False,False,False,False,False,False,False,False,3.0,False,False
2,2016-09-16 22:12:12,30.39764000000001,-97.928894,,,0.0,Accident on Hudson Bend Rd at RM-620.,Hudson Bend Rd,Austin,TX,81.9,10.0,,Clear,Night,False,False,False,False,False,True,False,False,False,False,3.5,False,False
4,2022-08-30 17:36:23,37.188256,-80.11458499999998,37.186842,-80.11029599999998,0.256,On US-221 in the County of Roanoke in the vicinity of Countrywood Dr motorists can expect delays due to a vehicle crash. All north lanes are closed., US-221,Roanoke,VA,76.0,10.0,0.0,Mostly Cloudy,Day,False,False,False,False,False,False,False,False,False,False,9.0,False,False
3,2019-05-29 07:58:15,26.705763,-80.075211,,,0.0,Middle lane blocked due to accident on I-95 Northbound at Exit 70 FL-704 Okeechobee Blvd.,Okeechobee Blvd,West Palm Beach,FL,80.0,10.0,0.0,Partly Cloudy,Day,False,False,False,False,False,False,False,False,False,False,7.0,False,False
2,2022-02-03 04:17:32,27.918581,-82.79651700000002,27.917679,-82.796549,0.062,Incident on CLEARWATER LARGO RD N near HOUSE 131 Drive with caution., Clearwater Largo Rd N,Largo,FL,63.0,10.0,0.0,Fair,Night,False,False,False,False,False,False,False,False,False,False,10.0,False,False
2,2019-09-04 11:16:20,43.064911,-87.879372,,,0.0,Accident on Webster Pl near Stowell Ave.,E Webster Pl,Milwaukee,WI,63.0,10.0,0.0,Cloudy,Day,False,False,True,False,False,False,False,False,False,False,9.0,False,False
2,2023-01-17 07:59:00,36.517857,-119.521077,36.517838,-119.512077,0.5,Incident on CA-201 near ROAD 24 Expect delays., Avenue 400,Kingsburg,CA,44.0,1.0,0.0,Fog,Day,False,False,False,False,False,False,False,False,False,False,0.0,False,False
2,2022-03-16 15:38:00.000000000,33.56047511084766,-117.1807444090024,33.568205110847664,-117.1808044090024,0.534,Accident on Murrieta Hot Springs Rd (I-215) from Los Alamos Rd (I-215) to I-215 N - Escondido Fwy N.,I-215,Murrieta,CA,73.0,10.0,0.0,Fair,Day,False,False,False,False,False,False,False,False,False,False,10.0,False,False
2,2022-01-01 12:32:00,28.187907,-82.739331,28.187887,-82.73995500000002,0.038,Incident on MILE STRETCH DR near US-19 Expect delays., Mile Stretch Dr,Holiday,FL,80.0,10.0,0.0,Partly Cloudy,Day,False,False,False,False,False,False,False,False,False,False,10.0,False,False
2,2022-02-27 17:08:00.000000,34.06743407233207,-117.5805222982522,34.067394072332064,-117.5750322982522,0.314,Incident on I-10 EB near HAVEN AVE Right shoulder closed.,I-10,Ontario,CA,74.0,10.0,0.0,Fair,Day,True,False,False,False,False,False,False,False,False,False,0.0,False,False
2,2021-11-16 07:43:00,30.099143,-83.557956,30.102099,-83.557835,0.204,Incident on SUNSET LN near US-27 Drive with caution., Sunset Ln,Perry,FL,,,,,Day,False,False,False,False,False,False,False,False,False,False,,False,False
2,2016-08-19 08:51:25,40.207413,-75.435234,,,0.0,Accident on PA-113 Bridge Rd at Mill Rd.,Bridge Rd,Collegeville,PA,75.9,9.0,,Clear,Day,False,False,False,False,False,False,False,False,False,False,6.9,False,False
2,2020-11-24 20:36:00,25.925277,-80.28904,25.924877,-80.29929,0.638,Incident on FL-826 WB near NW 57TH AVE Drive with caution.,Palmetto Expy S,Opa Locka,FL,74.0,10.0,0.0,Mostly Cloudy,Night,True,False,False,False,False,False,False,False,False,False,7.0,False,False
2,2017-12-29 09:10:58,36.052116,-79.733948,,,0.0,Accident on Lee St Westbound at I-40.,I-85 Bus S,Greensboro,NC,21.0,10.0,,Scattered Clouds,Day,False,False,False,False,False,False,False,False,False,False,3.5,False,False
2,2021-06-15 00:38:19,40.71156620959896,-74.24430727923277,40.70576620959896,-74.24581727923277,0.408,NJ Turnpike Auth.: Crash on Garden State Parkway southbound exiting at Exit 142B - I-78 West (Irvington Twp) right shoulder blocked,Garden State Pkwy,Irvington,NJ,70.0,10.0,0.0,Light Rain,Night,False,False,False,False,False,False,False,False,False,False,0.0,False,False
2,2019-05-28 11:04:32,33.92889,-118.29314,33.92843,-118.29695,0.221,At Vermont Ave - Accident. Hard shoulder blocked.,I-105 W,Los Angeles,CA,65.0,10.0,0.0,Partly Cloudy,Day,False,False,False,False,False,False,False,False,False,False,0.0,False,False
